日期	时间	磁场	温度
2018/6/3	0:07:33	-0.0002430	29.1
2018/6/3	0:07:38	-0.0002450	29.1
2018/6/3	0:07:43	-0.0002410	29.1
2018/6/3	0:07:48	-0.0002410	29.1
2018/6/3	0:07:53	-0.0002440	29.1
2018/6/3	0:07:58	-0.0002430	29.1
2018/6/3	0:08:03	-0.0002440	29.1
2018/6/3	0:08:08	-0.0002430	29.1
2018/6/3	0:08:13	-0.0002450	29.1
2018/6/3	0:08:18	-0.0002450	29.1
2018/6/3	0:08:23	-0.0002420	29.1
2018/6/3	0:08:28	-0.0002410	29.1
2018/6/3	0:08:33	-0.0002430	29.1
2018/6/3	0:08:38	-0.0002430	29.0
2018/6/3	0:08:43	-0.0002440	29.1
2018/6/3	0:08:48	-0.0002410	29.1
2018/6/3	0:08:53	-0.0002420	29.1
2018/6/3	0:08:58	-0.0002430	29.1
2018/6/3	0:09:03	-0.0002420	29.1
2018/6/3	0:09:08	-0.0002400	29.1
2018/6/3	0:09:13	-0.0002430	29.1
2018/6/3	0:09:18	-0.0002450	29.1
2018/6/3	0:09:23	-0.0002450	29.1
2018/6/3	0:09:28	-0.0002460	29.0
2018/6/3	0:09:33	-0.0002430	29.0
2018/6/3	0:09:38	-0.0002430	29.0
